yourlist:M202108194ABAA9BC7178C81CEBC9459510EDDEA313EEFEN	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
K9Z3T1	K9Z3T1	K9Z3T1_CYAAP	unreviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp Cyan10605_1686	Cyanobacterium aponinum (strain PCC 10605)	718	GO:0000287; GO:0003723; GO:0004654; GO:0005737; GO:0006396; GO:0006402	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396]
K9ZFZ8	K9ZFZ8	K9ZFZ8_ANACC	unreviewed	Phycocyanin	Anacy_2032	Anabaena cylindrica (strain ATCC 27899 / PCC 7122)	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9ZHW0	K9ZHW0	K9ZHW0_ANACC	unreviewed	Elongation factor Tu (EF-Tu)	tuf Anacy_2487	Anabaena cylindrica (strain ATCC 27899 / PCC 7122)	409	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
L7E451	L7E451	L7E451_MICAE	unreviewed	Phycocyanin, beta subunit	cpcB O53_2238	Microcystis aeruginosa TAIHU98	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
L8N0G6	L8N0G6	L8N0G6_9CYAN	unreviewed	Phycocyanin, beta subunit	Pse7429DRAFT_3555	Pseudanabaena biceps PCC 7429	173	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
L8NS07	L8NS07	L8NS07_MICAE	unreviewed	Phycocyanin, beta subunit	cpcB C789_3160	Microcystis aeruginosa DIANCHI905	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
Q14SQ2	Q14SQ2	Q14SQ2_9CYAN	unreviewed	Phycocyanin beta subunit (Fragment)	cpcB	Pseudanabaena sp. NIVA-CYA 504	90	GO:0015979; GO:0018298; GO:0030089	phycobilisome [GO:0030089]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
Q2TLN1	Q2TLN1	Q2TLN1_DUNSA	unreviewed	Superoxide dismutase (EC 1.15.1.1)		Dunaliella salina (Green alga) (Protococcus salinus)	227	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
Q82UN3	Q82UN3	Q82UN3_NITEU	unreviewed	Iron-regulated ABC transporter ATPase subunit SufC	ycf16 NE1449	Nitrosomonas europaea (strain ATCC 19718 / CIP 103999 / KCTC 2705 / NBRC 14298)	263	GO:0005524; GO:0042626	ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]
S3K9U2	S3K9U2	S3K9U2_MICAE	unreviewed	C-phycocyanin beta chain	MAESPC_02503	Microcystis aeruginosa SPC777	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
U1RGJ4	U1RGJ4	U1RGJ4_9ACTO	unreviewed	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD HMPREF0043_01158	Actinobaculum sp. oral taxon 183 str. F0552	485	GO:0005524; GO:0005886; GO:0045261; GO:0046933; GO:0046961	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
U5DJT9	U5DJT9	U5DJT9_9CHRO	unreviewed	Phycobilisome protein	KR51_00012830	Rubidibacter lacunae KORDI 51-2	184	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
U7QCR5	U7QCR5	U7QCR5_9CYAN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES M595_5229	Lyngbya aestuarii BL J	103	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
V5NZF0	V5NZF0	V5NZF0_9CYAN	unreviewed	Phycocyanin beta-1 subunit	cpcB-1	Pseudanabaena sp. lw0831	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
