yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513EA317	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
D6TMX9	D6TMX9	D6TMX9_9CHLR	unreviewed	50S ribosomal protein L9	rplI Krac_8454	Ktedonobacter racemifer DSM 44963	151	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
D8G6K9	D8G6K9	D8G6K9_9CYAN	unreviewed	Uncharacterized protein	OSCI_3700018	Kamptonema sp. PCC 6506	92		
E0U9T8	E0U9T8	E0U9T8_GLOV7	unreviewed	Anion-transporting ATPase	Cyan7822_3053	Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))	365		
E6PX36	E6PX36	E6PX36_9ZZZZ	unreviewed	Cold shock, CspA (Cold-shock protein)	cspC B1B_14498 CARN3_0423	mine drainage metagenome	66	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
E8V8C5	E8V8C5	E8V8C5_TERSS	unreviewed	Ig-like domain-containing protein	AciPR4_0995	Terriglobus saanensis (strain ATCC BAA-1853 / DSM 23119 / SP1PR4)	540		
E8WVB2	E8WVB2	E8WVB2_GRATM	unreviewed	Uncharacterized protein	AciX9_0213	Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9)	1143		
E8WXW5	E8WXW5	E8WXW5_GRATM	unreviewed	Cold-shock DNA-binding domain protein	AciX9_2787	Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9)	66	GO:0003677; GO:0005737	cytoplasm [GO:0005737]; DNA binding [GO:0003677]
E8WYS0	E8WYS0	E8WYS0_GRATM	unreviewed	Phosphate-binding protein	AciX9_1708	Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9)	335	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
E8X3Q6	E8X3Q6	E8X3Q6_GRATM	unreviewed	TonB-dependent receptor plug	AciX9_2296	Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9)	1175	GO:0030246	carbohydrate binding [GO:0030246]
E8X7I1	E8X7I1	E8X7I1_GRATM	unreviewed	Cna B domain protein	AciX9_4469	Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9)	1146	GO:0030246	carbohydrate binding [GO:0030246]
F1YT78	F1YT78	F1YT78_9PROT	unreviewed	Outer membrane protein	yiaD APO_1138	Acetobacter pomorum DM001	376	GO:0009279	cell outer membrane [GO:0009279]
F3LM43	F3LM43	F3LM43_9BURK	unreviewed	Extracellular ligand-binding receptor	RBXJA2T_03748	Rubrivivax benzoatilyticus JA2 = ATCC BAA-35	380	GO:0006865	amino acid transport [GO:0006865]
F5UB17	F5UB17	F5UB17_9CYAN	unreviewed	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB MicvaDRAFT_4203	Microcoleus vaginatus FGP-2	697	GO:0000287; GO:0005524; GO:0005887; GO:0008556; GO:0016787	integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; magnesium ion binding [GO:0000287]; P-type potassium transmembrane transporter activity [GO:0008556]
F7VEG3	F7VEG3	F7VEG3_9PROT	unreviewed	Outer membrane protein OmpA	ATPR_1762	Acetobacter tropicalis NBRC 101654	366	GO:0009279	cell outer membrane [GO:0009279]
G6FS96	G6FS96	G6FS96_9CYAN	unreviewed	Cell division protein SepF	sepF FJSC11DRAFT_1992	Fischerella thermalis	199	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
G8NVA5	G8NVA5	G8NVA5_GRAMM	unreviewed	Cold-shock DNA-binding domain protein	AciX8_1047	Granulicella mallensis (strain ATCC BAA-1857 / DSM 23137 / MP5ACTX8)	66	GO:0003677; GO:0005737	cytoplasm [GO:0005737]; DNA binding [GO:0003677]
G9ZV60	G9ZV60	G9ZV60_9PROT	unreviewed	General L-amino acid-binding periplasmic protein AapJ	HMPREF9946_00424	Acetobacteraceae bacterium AT-5844	364		
H1YBN1	H1YBN1	H1YBN1_9SPHI	unreviewed	TonB-dependent receptor plug	Mucpa_1841	Mucilaginibacter paludis DSM 18603	1081	GO:0030246	carbohydrate binding [GO:0030246]
I4FVT8	I4FVT8	I4FVT8_MICAE	unreviewed	Anion-transporting ATPase	MICAB_6750007	Microcystis aeruginosa PCC 9717	358		
I4GF78	I4GF78	I4GF78_MICAE	unreviewed	Similar to tr|P72799|P72799	MICAD_1950002	Microcystis aeruginosa PCC 7941	358		
I4H8T2	I4H8T2	I4H8T2_MICAE	unreviewed	Cell division protein SepF	sepF MICAF_3960002	Microcystis aeruginosa PCC 9807	190	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
I4HA99	I4HA99	I4HA99_MICAE	unreviewed	Similar to tr|P72799|P72799	MICAF_4540002	Microcystis aeruginosa PCC 9807	358		
I4HQZ9	I4HQZ9	I4HQZ9_MICAE	unreviewed	Cell division protein SepF	sepF MICAG_2440035	Microcystis aeruginosa PCC 9808	190	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
I4I573	I4I573	I4I573_MICAE	unreviewed	Similar to tr|P72799|P72799	MICAG_800005	Microcystis aeruginosa PCC 9808	358		
I4I859	I4I859	I4I859_9CHRO	unreviewed	Anion-transporting ATPase	MICAI_1170037	Microcystis sp. T1-4	358		
I5AQM9	I5AQM9	I5AQM9_EUBCE	unreviewed	Bacterial nucleoid DNA-binding protein	EubceDRAFT1_0242	[Eubacterium] cellulosolvens 6	89	GO:0003677; GO:0030261	DNA binding [GO:0003677]; chromosome condensation [GO:0030261]
J2LE96	J2LE96	J2LE96_9SPHN	unreviewed	Outer membrane receptor for ferrienterochelin and colicins	PMI04_00651	Sphingobium sp. AP49	991	GO:0009279	cell outer membrane [GO:0009279]
J3CX14	J3CX14	J3CX14_9BURK	unreviewed	CHRD domain-containing protein	PMI12_00343	Variovorax sp. CF313	149		
J9H4V8	J9H4V8	J9H4V8_9ACTN	unreviewed	Cold shock protein	A27L6_002700000140	actinobacterium SCGC AAA027-L06	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
K8GH63	K8GH63	K8GH63_9CYAN	unreviewed	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	kdpC OsccyDRAFT_4626	Leptolyngbyaceae cyanobacterium JSC-12	214	GO:0005524; GO:0005887; GO:0008556	integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; P-type potassium transmembrane transporter activity [GO:0008556]
K9PJN2	K9PJN2	K9PJN2_9CYAN	unreviewed	Uncharacterized protein	Cal7507_3223	Calothrix sp. PCC 7507	117		
K9PTV1	K9PTV1	K9PTV1_9CYAN	unreviewed	Uncharacterized protein	Cal7507_5659	Calothrix sp. PCC 7507	179	GO:0016021	integral component of membrane [GO:0016021]
K9REU0	K9REU0	K9REU0_9CYAN	unreviewed	Chlorophyll A-B binding protein	Riv7116_3549	Rivularia sp. PCC 7116	67		
K9S661	K9S661	K9S661_9CYAN	unreviewed	Cell division protein SepF	sepF GEI7407_0938	Geitlerinema sp. PCC 7407	195	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
K9SBB6	K9SBB6	K9SBB6_9CYAN	unreviewed	Uncharacterized protein	GEI7407_3033	Geitlerinema sp. PCC 7407	84		
K9UCP4	K9UCP4	K9UCP4_CHAP6	unreviewed	Uncharacterized protein	Cha6605_1189	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	119		
K9V0X4	K9V0X4	K9V0X4_9CYAN	unreviewed	Uncharacterized protein	Cal6303_2364	Calothrix sp. PCC 6303	177	GO:0016021	integral component of membrane [GO:0016021]
K9V1T6	K9V1T6	K9V1T6_9CYAN	unreviewed	Uncharacterized protein	Cal6303_2362	Calothrix sp. PCC 6303	117		
K9VGJ0	K9VGJ0	K9VGJ0_9CYAN	unreviewed	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB Osc7112_2127	Oscillatoria nigro-viridis PCC 7112	697	GO:0000287; GO:0005524; GO:0005887; GO:0008556	integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; P-type potassium transmembrane transporter activity [GO:0008556]
L7EA98	L7EA98	L7EA98_MICAE	unreviewed	Uncharacterized protein	O53_548	Microcystis aeruginosa TAIHU98	358		
L8LPX3	L8LPX3	L8LPX3_9CHRO	unreviewed	Putative periplasmic or secreted lipoprotein	GLO73106DRAFT_00018830	Gloeocapsa sp. PCC 73106	112		
L8NYG9	L8NYG9	L8NYG9_MICAE	unreviewed	Uncharacterized protein	C789_1289	Microcystis aeruginosa DIANCHI905	358		
M5CRF2	M5CRF2	M5CRF2_STEMA	unreviewed	Alcohol dehydrogenase GroES domain protein (EC 1.1.1.2)	adh3 SMSKK35_3329	Stenotrophomonas maltophilia SKK35	352	GO:0008106; GO:0008270	alcohol dehydrogenase (NADP+) activity [GO:0008106]; zinc ion binding [GO:0008270]
M9M9K8	M9M9K8	M9M9K8_GLUTH	unreviewed	30S ribosomal protein S19	rpsS NBRC3255_1208	Gluconobacter thailandicus NBRC 3255	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
P72799	P72799	P72799_SYNY3	unreviewed	Slr1794 protein	slr1794	Synechocystis sp. (strain PCC 6803 / Kazusa)	362		
Q10Z50	Q10Z50	Q10Z50_TRIEI	unreviewed	Beta-Ig-H3/fasciclin	Tery_3372	Trichodesmium erythraeum (strain IMS101)	190		
R0E912	R0E912	R0E912_CAUVI	unreviewed	Uncharacterized protein	OR37_02017	Caulobacter vibrioides OR37	813	GO:0009279	cell outer membrane [GO:0009279]
S0ESQ0	S0ESQ0	S0ESQ0_CHTCT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL CCALI_00523	Chthonomonas calidirosea (strain DSM 23976 / ICMP 18418 / T49)	543	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
S3KDJ9	S3KDJ9	S3KDJ9_MICAE	unreviewed	Arsenical pump-driving ATPase (EC 3.6.3.16)	MAESPC_01390	Microcystis aeruginosa SPC777	358	GO:0016787	hydrolase activity [GO:0016787]
U5YGI5	U5YGI5	U5YGI5_9VIRI	unreviewed	ATP synthase subunit 9, mitochondrial	atp9	Closterium baillyanum	85	GO:0008289; GO:0015078; GO:0015986; GO:0016021; GO:0031966; GO:0045263	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]
U5YGZ2	U5YGZ2	U5YGZ2_9VIRI	unreviewed	ATP synthase subunit 9, mitochondrial	atp9	Roya obtusa	73	GO:0008289; GO:0015078; GO:0015986; GO:0016021; GO:0031966; GO:0045263	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]
V4MY76	V4MY76	V4MY76_9CAUL	unreviewed	FAS1 domain-containing protein	ABAC402_14460	Asticcacaulis sp. AC402	143		
W0AB90	W0AB90	W0AB90_9SPHN	unreviewed	FAS1 domain-containing protein	NX02_06015	Sphingomonas sanxanigenens DSM 19645 = NX02	182		
W0FUE4	W0FUE4	W0FUE4_9CYAN	unreviewed	Phycocyanin beta subunit (Fragment)		Leptolyngbya tenuis C11	77	GO:0015979; GO:0018298; GO:0030089	phycobilisome [GO:0030089]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
W5YB94	W5YB94	W5YB94_KOMXY	unreviewed	30S ribosomal protein S19	rpsS H845_2229	Komagataeibacter xylinus E25	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
X4ZUG6	X4ZUG6	X4ZUG6_9BACL	unreviewed	Uncharacterized protein	PSAB_05185	Paenibacillus sabinae T27	412		
